Marital status;Nacionality;Mother's qualification;Father's qualification;Mother's occupation;Father's occupation;Gender;Scholarship holder;Age at enrollment;Target
1;1;1;19;7;7;0;1;20;Enrolled
1;1;37;37;90;90;0;0;19;Graduate
1;1;38;38;9;9;0;0;27;Dropout
1;1;1;19;5;5;0;0;18;Graduate
2;1;1;3;4;3;0;0;39;Dropout
1;1;3;3;2;2;0;0;27;Dropout
1;1;38;38;7;10;0;0;18;Graduate
1;1;38;37;4;9;0;0;18;Enrolled
1;1;19;19;9;9;0;0;18;Graduate
1;1;19;1;9;9;0;1;21;Graduate
1;1;1;37;4;7;1;1;19;Enrolled
1;1;1;1;3;4;1;0;19;Enrolled
1;1;1;1;3;3;1;0;24;Enrolled
4;1;1;1;5;5;1;0;29;Dropout
1;1;19;19;5;3;1;1;19;Graduate
1;1;19;37;9;9;1;0;23;Graduate
1;1;1;38;7;7;1;0;19;Dropout
1;1;19;37;7;10;1;0;26;Enrolled
1;1;38;37;5;5;1;0;18;Enrolled
1;1;37;19;8;4;1;0;24;Graduate
1;1;19;19;5;10;1;0;19;Dropout
1;1;38;37;5;7;1;0;18;Dropout
1;1;38;38;9;9;1;0;18;Graduate
1;1;19;19;4;7;1;0;18;Dropout
1;1;19;37;7;7;1;1;21;Dropout
1;1;1;19;9;8;1;1;19;Graduate
1;1;38;37;9;9;1;1;22;Graduate
2;1;37;37;9;6;1;0;33;Graduate
1;1;19;19;9;9;1;0;20;Dropout
1;1;3;3;2;2;1;0;35;Dropout
1;1;3;3;4;2;1;0;24;Dropout
1;1;19;19;4;4;1;0;18;Enrolled
2;1;37;37;9;6;0;0;33;Graduate
1;1;37;38;9;7;0;1;22;Graduate
1;1;1;19;4;5;0;1;25;Graduate
1;1;19;38;4;0;1;0;20;Graduate
1;1;38;37;9;9;1;0;23;Enrolled
1;1;38;19;9;6;1;0;18;Enrolled
1;1;1;1;4;10;1;0;24;Dropout
1;41;19;1;9;9;0;0;21;Graduate
1;41;1;1;4;4;0;0;26;Dropout
2;1;37;34;0;0;0;0;39;Dropout
2;1;37;19;9;9;0;0;44;Graduate
1;26;38;3;9;2;1;0;19;Enrolled
1;1;37;1;5;5;0;0;18;Graduate
1;1;37;37;7;7;0;1;18;Graduate
1;1;1;2;9;1;0;0;19;Enrolled
1;1;3;3;2;2;0;0;19;Dropout
1;1;38;38;9;9;0;0;21;Dropout
1;1;1;1;9;10;0;0;20;Graduate
2;1;37;37;6;5;0;0;36;Dropout
4;1;37;37;9;6;0;0;43;Graduate
1;1;19;19;9;7;0;0;19;Dropout
1;1;3;1;2;8;0;0;20;Graduate
1;1;37;38;4;7;0;0;19;Dropout
1;1;1;1;4;4;0;0;20;Dropout
1;1;3;4;4;3;0;0;20;Dropout
1;1;19;1;9;3;0;0;20;Enrolled
1;1;37;37;6;7;0;0;18;Graduate
1;1;1;38;4;7;0;1;18;Enrolled
1;1;19;19;9;9;0;0;19;Graduate
1;1;1;38;4;7;0;0;18;Graduate
1;1;37;37;9;9;0;0;18;Dropout
1;1;38;38;9;5;0;0;20;Enrolled
1;1;19;37;9;7;0;1;20;Enrolled
1;1;19;19;3;3;0;0;20;Enrolled
1;1;37;38;9;7;0;0;18;Graduate
1;1;2;19;4;5;0;0;18;Graduate
1;1;1;1;4;5;0;0;21;Dropout
1;1;19;19;9;7;0;0;19;Graduate
1;1;3;19;2;9;0;0;19;Dropout
1;1;38;38;9;9;0;1;19;Graduate
1;1;19;38;4;7;0;0;19;Graduate
1;1;1;1;4;5;0;0;19;Dropout
1;1;37;37;9;9;0;0;20;Graduate
1;1;19;38;9;3;0;1;18;Enrolled
1;1;1;39;5;3;0;0;18;Graduate
1;1;1;37;8;9;0;0;19;Graduate
1;1;19;19;5;8;0;1;18;Dropout
1;1;37;37;9;9;0;0;18;Graduate
1;1;1;19;4;8;0;0;19;Graduate
1;1;1;19;3;3;0;0;19;Dropout
1;1;38;37;9;7;0;0;20;Graduate
1;1;1;38;3;9;0;1;19;Dropout
1;1;19;19;5;5;0;0;20;Graduate
1;1;1;1;141;175;0;1;18;Graduate
1;1;19;1;4;7;0;1;20;Enrolled
1;1;19;1;4;8;0;0;18;Graduate
1;1;37;37;9;9;0;0;19;Graduate
1;1;19;1;4;4;0;1;19;Graduate
1;1;3;1;3;3;0;0;22;Enrolled
1;1;1;12;9;10;0;1;19;Graduate
1;1;19;19;9;7;0;1;19;Graduate
1;1;37;38;5;6;0;1;19;Graduate
1;1;12;19;9;9;0;0;19;Dropout
1;1;1;37;9;10;0;0;20;Dropout
1;1;3;19;2;10;0;0;18;Graduate
1;1;1;19;9;9;0;1;20;Graduate
1;1;3;37;2;8;0;0;18;Enrolled
1;1;1;38;4;7;0;0;19;Graduate
1;1;38;38;7;6;0;0;18;Enrolled
1;1;37;37;9;9;0;0;18;Graduate
1;1;3;37;2;5;0;0;21;Dropout
1;1;38;37;6;6;0;0;19;Dropout
1;1;38;38;9;9;0;1;18;Graduate
1;1;1;37;7;9;0;1;18;Graduate
1;1;19;1;9;10;0;0;20;Graduate
1;1;1;19;6;8;0;1;24;Graduate
1;1;19;1;4;1;0;0;19;Dropout
1;1;19;37;9;7;0;1;18;Graduate
1;1;19;19;9;9;0;0;18;Graduate
1;1;12;12;4;4;0;0;21;Dropout
1;1;1;19;5;4;0;0;19;Graduate
1;1;19;37;7;7;0;1;19;Graduate
3;1;1;37;6;6;0;0;47;Enrolled
1;1;19;19;7;8;0;0;19;Graduate
1;1;2;2;1;1;0;0;29;Graduate
1;1;19;19;4;8;0;0;21;Dropout
1;1;37;19;9;7;0;0;28;Enrolled
1;1;37;37;3;10;0;0;20;Graduate
1;1;2;38;4;5;0;0;19;Graduate
1;1;19;2;4;6;0;0;26;Graduate
1;1;37;37;9;8;0;0;20;Dropout
1;1;37;37;9;9;0;1;18;Enrolled
1;1;37;19;9;5;0;0;27;Graduate
1;1;34;34;90;90;0;0;20;Dropout
1;1;37;19;9;5;0;0;18;Dropout
1;1;1;1;9;5;0;0;33;Dropout
1;1;3;1;3;3;0;0;35;Graduate
1;1;37;19;9;8;0;1;26;Enrolled
1;1;19;19;3;4;0;0;27;Dropout
1;1;1;37;5;5;0;0;19;Dropout
1;1;1;19;4;6;0;0;20;Dropout
1;1;3;3;5;7;0;0;20;Dropout
1;1;1;37;5;9;0;0;21;Enrolled
1;1;38;1;9;4;0;1;18;Graduate
1;1;1;19;9;9;0;0;24;Dropout
1;1;1;3;4;1;0;0;20;Graduate
1;1;19;38;9;8;0;1;21;Graduate
1;1;1;37;7;3;0;0;23;Enrolled
1;1;12;3;4;3;0;0;24;Dropout
1;1;1;1;4;10;0;0;21;Dropout
1;1;38;38;9;8;0;0;18;Graduate
1;1;19;1;3;4;0;0;27;Dropout
1;1;37;37;5;5;0;0;18;Graduate
1;1;3;2;2;2;0;0;35;Dropout
1;1;19;19;3;8;0;0;18;Graduate
1;1;1;3;175;121;0;0;35;Enrolled
1;1;1;1;4;7;0;0;19;Graduate
1;1;19;19;4;0;0;0;20;Graduate
1;1;19;19;7;7;0;0;18;Graduate
1;1;38;38;5;10;0;0;21;Graduate
1;1;19;37;9;8;0;1;18;Graduate
1;1;34;34;0;0;0;0;18;Graduate
1;1;19;38;9;9;0;0;18;Graduate
1;1;3;19;1;4;0;1;18;Graduate
1;1;19;1;8;7;0;0;19;Graduate
1;1;3;19;2;3;0;1;36;Dropout
1;1;38;1;7;4;0;1;18;Graduate
1;1;37;37;9;9;0;1;18;Graduate
1;1;1;3;9;2;0;1;20;Graduate
1;1;37;37;9;9;0;1;26;Dropout
1;1;1;1;4;5;0;0;21;Graduate
1;1;1;1;4;5;0;0;25;Enrolled
1;1;19;3;5;5;0;1;19;Graduate
1;1;19;37;8;7;0;0;24;Dropout
1;1;1;19;5;4;0;1;27;Dropout
1;1;19;37;1;3;0;0;21;Dropout
1;1;38;38;7;7;0;1;18;Graduate
2;1;37;37;5;7;0;1;19;Graduate
1;1;1;1;3;3;0;0;18;Dropout
1;1;19;1;5;9;0;1;19;Graduate
1;1;1;38;4;5;0;1;19;Graduate
2;1;40;5;3;3;0;0;33;Graduate
2;1;1;4;3;10;0;0;45;Graduate
1;1;1;1;9;9;0;1;20;Graduate
1;1;34;34;0;0;0;0;28;Dropout
1;1;1;1;5;8;0;1;19;Graduate
1;1;1;37;4;5;0;0;18;Graduate
1;1;19;19;4;6;0;0;38;Dropout
1;1;1;3;4;3;0;0;19;Graduate
1;1;1;37;9;9;0;1;21;Graduate
1;1;37;1;9;10;0;0;21;Dropout
1;1;38;37;9;9;0;1;22;Graduate
1;1;19;19;5;7;0;1;18;Graduate
1;1;37;37;3;9;0;1;18;Graduate
1;1;19;1;9;9;0;0;25;Dropout
1;1;19;19;9;7;0;0;24;Dropout
1;1;3;1;4;4;0;0;19;Enrolled
1;1;3;3;3;3;0;0;24;Enrolled
1;1;37;19;5;5;0;1;20;Graduate
1;1;37;1;9;1;0;0;25;Dropout
1;1;38;19;9;10;0;1;20;Graduate
1;1;19;38;5;3;0;0;23;Graduate
1;1;19;37;7;6;0;1;19;Graduate
1;1;37;37;9;10;0;0;29;Dropout
1;1;19;37;4;7;0;0;21;Graduate
1;1;19;1;9;8;0;1;18;Graduate
1;1;19;38;9;9;0;0;19;Enrolled
1;1;38;37;7;7;0;1;18;Dropout
1;1;9;19;90;6;0;0;19;Graduate
1;1;37;37;9;8;0;0;18;Enrolled
1;1;1;1;4;4;0;0;18;Graduate
2;1;38;37;7;7;0;1;37;Dropout
1;1;37;37;6;6;0;0;29;Graduate
1;1;37;37;9;9;0;0;18;Enrolled
1;1;1;1;9;8;0;1;19;Graduate
1;1;1;1;3;1;0;0;22;Dropout
1;1;37;38;9;7;0;1;20;Graduate
1;1;37;37;99;99;0;0;34;Dropout
1;1;37;38;9;9;0;0;30;Dropout
1;1;1;1;4;4;0;0;18;Graduate
1;1;38;19;9;5;0;0;18;Graduate
1;1;3;1;1;3;0;0;18;Graduate
1;1;4;1;2;3;0;0;18;Graduate
1;1;38;38;9;9;0;1;19;Graduate
1;1;37;37;9;9;0;1;19;Graduate
1;1;1;1;9;9;0;1;18;Graduate
1;1;37;38;4;8;0;1;21;Graduate
1;1;1;19;9;9;0;0;20;Dropout
1;1;12;19;4;8;0;0;20;Graduate
1;1;5;1;2;5;0;0;19;Graduate
1;1;1;38;4;5;0;0;20;Graduate
1;1;12;1;4;10;0;0;18;Graduate
1;1;37;38;3;3;0;0;20;Dropout
2;1;5;4;2;0;0;0;29;Dropout
1;1;19;19;5;6;0;1;18;Enrolled
1;1;19;19;5;5;0;1;20;Graduate
1;1;38;37;9;9;0;1;22;Graduate
4;1;39;19;4;10;0;1;47;Graduate
2;1;37;37;8;4;0;0;31;Graduate
1;1;19;37;7;5;0;1;21;Graduate
1;1;38;38;0;0;0;0;21;Graduate
2;1;1;1;4;4;0;0;24;Graduate
1;1;4;37;2;9;0;0;18;Enrolled
1;1;34;1;90;2;0;0;32;Graduate
1;1;3;1;3;4;0;1;19;Graduate
1;1;3;3;1;1;0;0;24;Graduate
1;1;19;19;4;10;0;0;19;Graduate
1;1;19;37;6;6;0;1;19;Graduate
1;1;37;37;9;4;0;0;24;Enrolled
1;1;19;19;191;144;0;1;18;Graduate
1;1;38;37;3;6;0;1;19;Dropout
2;1;3;38;2;4;0;1;19;Graduate
1;1;19;38;9;8;0;1;18;Graduate
1;1;1;1;3;3;0;0;18;Graduate
1;1;1;1;4;10;0;0;20;Graduate
1;1;19;38;5;7;0;0;18;Graduate
1;1;38;38;9;7;0;0;18;Graduate
1;1;38;37;9;9;0;1;21;Graduate
1;1;19;19;4;9;0;1;18;Graduate
1;1;19;19;5;5;0;0;18;Dropout
1;1;1;11;4;3;0;0;19;Dropout
1;1;1;19;4;10;0;0;19;Enrolled
1;1;1;19;5;5;0;0;18;Graduate
1;1;3;1;90;90;0;0;34;Dropout
1;1;11;11;90;90;0;0;19;Graduate
1;1;37;37;7;8;0;0;19;Dropout
1;1;3;19;2;1;0;0;26;Graduate
1;1;34;34;0;0;0;0;21;Dropout
1;1;19;19;4;8;0;1;18;Graduate
1;1;38;38;5;7;0;1;20;Graduate
1;1;1;1;4;4;0;0;25;Dropout
1;1;1;38;4;3;0;0;18;Graduate
1;1;19;19;3;6;0;1;18;Graduate
1;1;41;19;3;5;0;0;19;Graduate
1;1;19;38;5;9;0;1;18;Graduate
1;1;38;38;7;7;0;0;20;Enrolled
1;1;19;19;9;5;0;0;26;Dropout
1;1;37;37;7;9;0;1;19;Graduate
1;1;1;1;5;1;0;0;19;Graduate
1;1;37;37;9;9;0;0;19;Graduate
1;1;1;19;7;5;0;0;19;Enrolled
1;1;19;19;5;8;0;0;18;Graduate
1;1;1;37;9;9;0;0;19;Graduate
1;1;1;1;9;6;0;0;18;Graduate
1;1;2;19;4;4;0;0;18;Enrolled
1;1;19;38;9;5;0;0;18;Enrolled
1;1;1;38;9;6;0;0;18;Enrolled
1;1;19;37;4;7;0;0;26;Dropout
1;1;38;38;7;7;0;0;20;Graduate
1;1;37;38;9;10;0;0;19;Graduate
1;1;34;37;4;9;0;1;18;Graduate
1;1;38;37;7;7;0;0;19;Graduate
1;1;41;3;2;1;0;0;40;Graduate
1;1;38;38;7;7;0;1;18;Graduate
1;1;3;1;9;10;0;0;19;Graduate
1;1;2;9;3;5;0;0;18;Graduate
1;1;1;2;3;1;0;0;19;Enrolled
1;1;3;3;2;2;0;0;18;Dropout
2;1;37;37;9;9;0;0;33;Graduate
1;1;3;3;1;2;0;0;35;Graduate
1;1;37;38;9;1;0;0;26;Enrolled
1;1;19;19;7;5;0;0;18;Graduate
1;1;37;37;9;9;0;0;36;Enrolled
4;1;37;37;6;6;0;0;39;Graduate
2;1;37;37;9;9;0;0;44;Graduate
1;1;3;1;3;9;0;0;20;Enrolled
1;1;19;19;9;9;0;0;24;Dropout
1;1;19;19;9;8;0;1;20;Graduate
1;1;1;1;9;5;0;0;19;Dropout
2;1;37;38;9;7;0;1;18;Graduate
1;1;19;19;4;6;0;0;22;Dropout
1;1;19;1;4;5;0;0;18;Graduate
1;1;38;37;9;9;0;0;24;Graduate
1;1;37;37;90;8;0;0;33;Dropout
1;1;37;37;3;8;0;1;30;Enrolled
1;1;3;39;2;3;0;0;26;Dropout
1;1;19;38;4;1;0;0;18;Graduate
1;1;37;38;9;7;0;0;19;Dropout
1;1;19;38;9;10;0;0;20;Enrolled
1;1;19;37;9;8;0;1;22;Graduate
1;1;1;1;9;1;0;0;19;Enrolled
1;1;37;38;7;5;0;1;21;Graduate
1;1;19;38;4;8;0;1;21;Graduate
1;1;19;37;2;7;0;0;19;Enrolled
1;1;38;37;191;195;0;1;19;Graduate
1;1;19;19;9;5;0;0;18;Dropout
2;1;37;39;9;4;0;0;50;Graduate
4;1;38;19;9;7;0;1;31;Enrolled
1;1;1;19;4;7;0;1;19;Graduate
4;1;1;37;141;192;0;0;35;Graduate
2;1;38;38;4;7;0;0;31;Dropout
2;1;37;37;9;9;0;0;42;Enrolled
1;1;37;37;9;9;0;0;34;Dropout
1;1;1;1;4;4;0;1;18;Graduate
1;1;3;3;3;3;0;1;18;Enrolled
1;1;37;38;5;6;0;0;21;Enrolled
4;1;38;19;5;7;0;1;26;Dropout
1;1;19;37;8;8;0;0;20;Enrolled
1;1;38;38;5;7;0;0;19;Enrolled
1;1;19;19;5;5;0;1;19;Graduate
1;1;3;4;2;1;0;0;20;Graduate
1;1;34;34;0;0;0;0;19;Graduate
1;1;37;37;9;9;0;0;18;Graduate
1;1;37;37;9;9;0;0;28;Graduate
1;1;1;19;4;5;0;0;22;Enrolled
1;1;37;37;7;7;0;1;21;Graduate
1;1;4;38;4;5;0;0;21;Enrolled
1;1;1;19;5;3;0;0;26;Enrolled
1;1;30;37;7;7;0;0;18;Dropout
1;1;1;1;9;10;0;0;20;Dropout
1;1;1;19;4;3;0;0;18;Graduate
1;1;1;1;4;9;0;1;19;Graduate
1;1;3;19;3;10;0;0;20;Graduate
1;1;38;37;4;6;0;1;22;Graduate
1;1;37;19;5;8;0;0;18;Dropout
1;1;38;37;6;4;0;0;19;Dropout
1;1;1;3;3;3;0;1;18;Enrolled
1;1;37;37;7;7;0;0;20;Enrolled
1;1;38;37;9;9;0;0;19;Enrolled
1;1;19;38;9;9;0;0;19;Enrolled
1;1;37;37;5;5;0;0;19;Graduate
1;1;1;19;3;9;0;0;18;Graduate
1;1;1;19;3;9;0;0;21;Graduate
1;1;1;19;9;9;0;0;27;Graduate
1;1;1;19;4;4;0;0;19;Graduate
4;1;34;34;0;0;0;0;25;Dropout
1;1;19;19;7;7;0;1;18;Graduate
1;1;19;1;4;8;0;0;24;Graduate
1;1;1;1;4;10;0;0;20;Graduate
1;1;37;37;6;6;0;0;26;Graduate
1;1;1;38;9;7;0;1;20;Graduate
1;1;37;37;90;90;0;0;18;Graduate
1;1;1;1;9;9;0;0;19;Graduate
1;1;19;19;9;9;0;0;23;Dropout
1;1;37;37;9;9;0;1;18;Graduate
1;1;1;19;4;5;0;0;18;Dropout
1;1;2;1;2;8;0;1;19;Graduate
1;1;1;2;4;3;0;0;30;Graduate
1;1;1;2;4;6;0;0;29;Dropout
1;1;3;1;3;3;0;0;19;Graduate
1;1;19;2;5;3;0;0;20;Graduate
1;1;37;37;9;3;0;0;20;Graduate
1;1;38;38;3;7;0;0;19;Graduate
1;1;38;2;9;2;0;0;20;Enrolled
3;1;19;1;4;4;0;0;21;Dropout
1;1;19;38;4;10;0;0;19;Graduate
1;1;37;38;9;9;0;1;18;Graduate
1;1;37;37;7;8;0;1;27;Graduate
1;1;38;38;6;8;0;1;19;Graduate
1;1;1;1;90;3;0;1;19;Dropout
1;1;1;19;4;8;0;0;19;Graduate
1;1;19;19;5;5;0;1;18;Graduate
1;1;19;19;5;5;0;1;20;Enrolled
1;1;19;37;4;5;0;1;18;Graduate
1;1;9;1;2;4;0;0;19;Dropout
2;1;37;37;9;9;0;0;36;Graduate
1;1;3;4;3;2;0;0;18;Enrolled
1;1;19;38;4;5;0;0;18;Enrolled
1;1;19;38;9;3;0;0;19;Graduate
1;1;19;19;7;8;0;1;18;Graduate
1;1;19;19;1;1;0;0;18;Graduate
1;1;37;19;9;3;0;1;19;Graduate
1;1;3;1;2;1;0;1;19;Graduate
1;1;1;19;7;7;0;0;18;Dropout
1;1;1;19;9;7;0;0;20;Graduate
1;1;19;38;3;10;0;1;20;Enrolled
1;1;38;37;5;5;0;0;20;Graduate
1;1;37;37;9;8;0;1;18;Graduate
1;1;19;19;7;5;0;0;18;Graduate
1;1;19;37;4;7;0;0;19;Graduate
1;1;19;38;9;7;0;0;19;Enrolled
2;1;34;34;99;99;0;0;44;Graduate
1;1;38;37;5;6;0;0;32;Dropout
1;1;37;19;9;8;0;0;22;Dropout
2;1;1;19;4;9;0;0;36;Graduate
1;1;37;37;5;7;0;1;18;Graduate
1;1;3;3;3;2;0;0;20;Graduate
1;1;19;19;5;7;0;1;20;Graduate
1;1;3;1;2;3;0;0;19;Graduate
1;1;3;1;3;5;0;0;24;Graduate
1;1;1;1;4;9;0;0;20;Enrolled
1;1;3;3;2;3;0;0;27;Dropout
1;1;1;38;5;10;0;0;20;Enrolled
1;1;34;34;0;0;0;1;23;Graduate
1;1;19;38;4;8;0;1;18;Graduate
1;1;37;37;4;9;0;1;18;Graduate
1;1;1;37;9;9;0;1;20;Graduate
1;1;19;38;9;7;0;1;20;Graduate
1;1;38;19;7;10;0;0;23;Dropout
1;1;19;19;9;9;0;0;20;Graduate
1;1;34;34;0;0;0;0;28;Dropout
1;1;1;19;3;5;0;0;21;Graduate
1;1;19;19;9;9;0;0;21;Dropout
1;1;34;34;0;0;0;0;28;Dropout
1;1;3;1;3;3;0;0;18;Graduate
1;1;38;19;191;175;0;1;21;Enrolled
1;1;1;1;4;4;0;0;19;Graduate
1;1;1;19;1;1;0;1;18;Graduate
1;1;3;1;2;5;0;0;19;Dropout
1;1;38;38;9;7;0;0;20;Enrolled
1;1;1;19;9;5;0;1;20;Graduate
1;1;1;37;7;9;0;1;18;Graduate
1;1;38;19;4;3;0;0;20;Dropout
1;1;1;19;5;4;0;0;31;Dropout
1;1;37;37;9;7;0;1;19;Graduate
1;1;38;38;5;5;0;1;19;Graduate
1;1;19;1;3;8;0;0;23;Graduate
1;1;37;37;5;5;0;0;19;Graduate
1;1;1;3;3;2;0;0;20;Graduate
1;1;37;37;9;4;0;0;22;Enrolled
1;1;3;1;2;5;0;0;18;Enrolled
1;1;19;37;90;5;0;0;27;Dropout
1;1;37;38;9;9;0;0;29;Dropout
1;1;1;19;4;3;0;0;18;Graduate
1;1;19;38;9;7;0;0;18;Graduate
1;1;38;38;7;7;0;0;18;Graduate
1;1;37;38;9;9;0;0;20;Enrolled
1;1;38;38;9;9;0;0;18;Graduate
1;1;1;1;4;4;0;0;18;Enrolled
1;1;3;3;1;1;0;0;28;Dropout
1;1;37;1;7;7;0;1;18;Graduate
1;1;37;38;151;161;0;0;27;Enrolled
1;1;3;1;2;4;0;0;26;Enrolled
1;1;19;1;9;3;0;0;18;Graduate
1;1;5;5;2;2;0;0;18;Dropout
1;1;1;19;4;6;0;0;21;Dropout
1;1;4;1;2;3;0;0;18;Enrolled
2;1;34;34;99;99;0;0;32;Dropout
1;1;34;34;0;0;0;0;28;Graduate
1;1;37;19;9;2;0;0;40;Dropout
2;1;37;37;9;10;0;0;39;Dropout
2;1;37;37;9;10;0;0;39;Dropout
2;1;37;19;9;4;0;0;50;Graduate
1;1;1;1;9;4;0;0;23;Dropout
4;1;34;34;0;0;0;0;48;Dropout
1;1;37;37;9;9;0;0;23;Dropout
1;1;37;1;5;5;0;1;18;Graduate
1;1;3;19;2;9;0;0;18;Graduate
1;26;3;37;2;8;0;0;20;Graduate
1;103;1;1;9;9;0;1;18;Graduate
1;103;5;3;1;1;0;0;18;Dropout
1;1;1;1;9;3;1;0;31;Dropout
1;1;19;19;5;3;1;0;24;Enrolled
1;1;3;1;2;10;1;0;24;Graduate
1;1;37;37;9;9;1;0;26;Dropout
1;1;3;3;2;2;1;0;18;Dropout
1;1;37;37;4;7;1;1;19;Enrolled
1;1;19;37;9;8;1;0;22;Dropout
1;1;4;2;2;3;1;0;18;Graduate
1;1;1;19;4;7;1;0;20;Dropout
1;1;4;4;2;2;1;0;25;Graduate
1;1;3;3;4;4;1;0;24;Graduate
1;1;3;3;4;4;1;0;27;Dropout
1;1;3;19;4;4;1;0;21;Graduate
1;1;19;38;3;9;1;0;21;Graduate
1;1;19;1;9;9;1;0;19;Dropout
1;1;19;19;5;5;1;0;28;Graduate
1;1;19;19;5;7;1;0;20;Enrolled
1;1;1;19;4;10;1;1;21;Graduate
1;1;1;1;5;3;1;1;18;Graduate
1;1;19;1;9;10;1;1;18;Enrolled
1;1;19;1;5;10;1;0;20;Enrolled
1;1;1;1;5;10;1;0;25;Enrolled
1;1;38;19;5;6;1;0;22;Enrolled
1;1;37;37;9;9;1;0;18;Enrolled
1;1;19;38;9;7;1;0;19;Graduate
1;1;12;19;4;5;1;0;19;Dropout
1;1;19;1;7;9;1;0;25;Dropout
1;1;12;12;1;10;1;0;21;Dropout
1;1;1;2;3;2;1;0;19;Dropout
1;1;1;1;4;4;1;0;20;Dropout
1;1;3;2;2;2;1;0;25;Dropout
1;1;19;1;7;4;1;0;20;Enrolled
1;1;37;37;9;9;1;0;18;Graduate
1;1;39;39;194;193;1;0;23;Enrolled
1;1;1;3;9;10;1;0;23;Graduate
1;1;3;38;141;151;1;0;21;Graduate
1;1;1;1;3;3;1;0;20;Enrolled
1;1;1;1;4;10;1;0;25;Dropout
1;1;19;38;9;9;1;0;18;Graduate
1;1;1;1;9;9;1;0;22;Graduate
1;1;19;19;3;9;1;0;27;Graduate
1;1;4;1;2;4;1;0;25;Dropout
1;1;34;36;0;5;1;0;18;Dropout
1;1;38;19;8;8;1;0;20;Graduate
1;1;3;4;2;2;1;0;27;Graduate
1;1;1;1;9;9;1;0;20;Graduate
1;1;38;37;9;9;1;0;22;Dropout
1;1;19;3;5;10;1;0;19;Dropout
1;1;3;19;4;5;1;0;20;Enrolled
1;1;19;12;9;10;1;0;19;Graduate
2;1;1;1;4;4;1;0;29;Dropout
1;1;3;1;9;9;1;0;19;Graduate
1;1;19;37;9;8;0;1;28;Enrolled
2;1;37;37;5;5;0;0;20;Graduate
1;1;37;37;9;8;0;0;20;Graduate
1;1;34;5;0;1;0;0;31;Dropout
1;1;12;1;5;5;0;0;18;Graduate
1;1;1;19;8;7;0;0;19;Enrolled
1;1;37;38;9;8;0;0;18;Graduate
1;1;37;37;7;7;0;0;19;Graduate
1;1;1;19;3;3;0;1;18;Graduate
1;1;38;19;90;90;0;0;19;Graduate
1;1;38;38;9;8;0;1;18;Graduate
1;1;37;37;9;3;0;0;19;Graduate
1;1;37;1;5;4;0;0;19;Graduate
1;1;19;1;9;3;0;0;18;Graduate
1;1;3;19;2;8;0;0;19;Enrolled
1;1;37;1;9;4;0;1;20;Graduate
1;1;1;19;4;8;0;0;20;Enrolled
1;1;37;37;4;6;0;0;20;Enrolled
1;1;37;37;9;9;0;0;29;Dropout
1;1;38;12;7;0;0;1;20;Dropout
4;1;37;1;9;10;0;0;31;Dropout
